time:1  Численное значение               Точное значение         Погрешность
16                   1                             1               7.438494265e-14
17                2.25                          2.25               6.394884622e-14
18                   4                             4               9.681144775e-14
19                6.25                          6.25               9.237055565e-14
20                   9                             9                             0
21    -1.164171031e-51                             0               1.164171031e-51
22                0.25                          0.25               8.443246102e-14
23                   1                             1               1.214583989e-13
24                2.25                          2.25               1.576516695e-13
25                   4                             4               1.110223025e-13
26                6.25                          6.25               9.947598301e-14
27                   9                             9                             0
28     -1.06413163e-52                             0                1.06413163e-52
29                0.25                          0.25                8.54871729e-14
30                   1                             1               9.303668946e-14
31                2.25                          2.25               9.503509091e-14
32                   4                             4               1.083577672e-13
33                6.25                          6.25               8.615330671e-14
34                   9                             9                             0
35     5.728976974e-52                             0               5.728976974e-52
36                0.25                          0.25               6.478151349e-14
37                   1                             1               8.015810238e-14
38                2.25                          2.25               6.217248938e-14
39                   4                             4               7.904787935e-14
40                6.25                          6.25               8.082423619e-14
41                   9                             9                             0
42    -1.061185336e-52                             0               1.061185336e-52
43                0.25                          0.25               4.463096559e-14
44                   1                             1               9.992007222e-14
45                2.25                          2.25               1.434408148e-13
46                   4                             4                 7.1942452e-14
47                6.25                          6.25               7.549516567e-14
48                   9                             9                             0
